STATION_ID,variable,min,mean,median,max
4ACRR008.32,CHLa,2.03,10.955079365079365,7.895,43.1
4ACRV006.19,CHLa,0.62,2.7881159420289854,2.115,16.38
4ADAN187.94,CHLa,0.5,12.85361111111111,3.7350000000000003,157
4ADAN194.10,CHLa,1.1,4.544333333333333,3.16,17.4
4AGIL002.39,CHLa,0.93,4.788909774436091,4.24,23.57
4AGOB003.86,CHLa,0.78,3.1854285714285715,2.88,8.17
4AHTA003.26,CHLa,1.9,11.495000000000001,7.505000000000001,48.7
4ARFK000.20,CHLa,1.94,11.134357723577235,9.74,29
4AROA000.00,CHLa,0.5,5.6856481481481485,4.85,27.1
4AROA004.54,CHLa,0.43,4.185833333333333,3.785,13
4AROA008.66,CHLa,0.36,2.5204225352112677,1.73,10.37
4AROA018.36,CHLa,0.5,3.9395714285714285,3.58,9.52
4AROA022.52,CHLa,1.19,4.227285714285714,3.63,9.24
4AROA028.04,CHLa,0.5,5.568428571428571,5.34,19.11
4AROA032.42,CHLa,0.5,8.026047619047619,7.27,25.77
4AROA038.49,CHLa,0.5,13.313760683760684,12.649999999999999,29.56
4AROA043.14,CHLa,1.69,14.44089552238806,13.2,45.75
4AROA140.66,CHLa,0.66,4.307007575757575,3.7350000000000003,15.89
4AROA145.34,CHLa,0.5,5.248007662835249,4.98,13.7
4AROA153.59,CHLa,0.53,2.765,2.4699999999999998,6.94
4AROA158.22,CHLa,0.32,2.212589928057554,1.9,10.5
4AROA163.76,CHLa,0.5,2.644855072463768,2.08,11.2
4AROA167.34,CHLa,0,3.0713138686131387,2.44,13.37
4AROA175.63,CHLa,0.44,7.649637681159421,6.415,36.9
4AROA180.21,CHLa,1.32,10.256985294117648,8.855,35.7
4AROA183.64,CHLa,0,12.261571428571429,10.774999999999999,69.7
4AROA192.94,CHLa,0,8.924893617021276,4.51,62.3
4AROA196.05,CHLa,0.25,1.2862601626016261,0.8,12.9
4ASRE046.90,CHLa,0.02,1.8598666666666666,1.62,5.27
4ASRE048.98,CHLa,-0.16,1.8122666666666667,1.46,6.54
4ASRE052.31,CHLa,0.5,1.8125,1.59,6.53
4ASRE056.06,CHLa,0.39,2.6443055555555555,2.44,6.96
4ASRN005.14,CHLa,1.74,14.879637681159421,12.69,50.71
4AWTH000.40,CHLa,0.5,2.2107223021582736,1.76,18.6
5AGTC009.94,CHLa,0.5,11.169074074074073,10.55,37.1
5ALTD005.10,CHLa,8.13,20.594,15,63.8
5ANTW127.14,CHLa,3.68,17.546125,16.259999999999998,39.8
5ARDC007.30,CHLa,6.27,33.99761904761905,27.15,108.89
5ASRN000.66,CHLa,2.7,317.39255319148936,33.11,11952.7
6APNK001.26,CHLa,0.77,6.068333333333333,1.585,108
6APNR001.82,CHLa,0.61,2.205277777777778,1.8050000000000002,7.96
6BPWL024.64,CHLa,0.8,5.176896551724138,2.69,28.2
6BXAR000.69,CHLa,0.78,2.2779310344827586,2.21,7.35
6CBRU010.91,CHLa,1.44,4.144583333333333,3.21,12.46
6CHUN004.76,CHLa,1.76,3.69,3.17,10.8
6CLAU001.84,CHLa,1.09,3.4345833333333333,3.48,6.87
7-LAS000.06,CHLa,0.5,71.36333333333333,69.6,169
7-LAS001.03,CHLa,29.7,75.50874074074073,64.51333333333334,169
7-LAW000.04,CHLa,16.91,51.08474358974359,47.7,86.8
7-LAW001.24,CHLa,19.77,56.767307692307696,58.8,109.26
7-LTR000.04,CHLa,20.93,78.804217687074825,76.56,160.41
7-LTR000.95,CHLa,25,83.69081632653061,89.14,161.43
7-POQ005.72,CHLa,1.98,12.906761904761904,9.81,90.8
7-POQ006.84,CHLa,2.37,11.555428571428571,11.8,24.1
8-CLC003.48,CHLa,2.85,12.531379310344828,10.5,49.5
8-COL000.99,CHLa,1.25,5.953333333333333,5.99,12.8
8-ELK005.45,CHLa,1.37,3.915925925925926,3.47,10.3
8-FRC000.68,CHLa,2.7,6.798095238095238,5.91,13.6
8-NAR034.92,CHLa,0.5,5.04791129032258,3.7125000000000004,19.6
8-NAR043.00,CHLa,0.5,5.018719696969697,3.7800000000000002,26.72
8-NAR044.68,CHLa,0.5,5.046969696969697,4.06,24.6
8-NAR047.69,CHLa,0.87,8.861385220125786,8.16,29.5
8-NAR050.90,CHLa,5,12.617279411764706,12.35,29.7
8-NAR054.17,CHLa,7.35,21.04882978723404,20.325000000000003,56.25
8-NAR058.01,CHLa,2.97,46.98355769230769,42.55,113.5
8-NAR058.53,CHLa,1.99,36.07969696969697,36,67.05
8-NIR012.99,CHLa,1.66,8.513714285714286,7.484999999999999,20.9
8-PLT001.34,CHLa,2.38,10.107777777777779,9.675,21.8
8-PMC002.13,CHLa,2.79,12.603274193548387,11.5,23.9
8-PMC003.18,CHLa,7.83,20.76111111111111,21.475,42.55
8-PMC007.15,CHLa,1.01,39.576153846153844,39.28,81.9
8-PMC008.60,CHLa,3.38,38.095454545454544,35.5,88
8-QEN007.02,CHLa,1.14,4.523619047619047,3.28,16.22
8-QEN007.22,CHLa,1.87,4.7,4.08,11
8-QEN007.65,CHLa,0.8,4.87,3.58,14.4
8-QEN008.58,CHLa,0.75,12.00258064516129,9.97,31.5
8-TRY001.39,CHLa,13.4,33.0071,30.7,62
9-NEW087.14,CHLa,0.59,6.906478873239436,5.4,28.1
9-NEW089.34,CHLa,0.82,6.769718309859155,5.65,24.67
9-NEW092.66,CHLa,1.14,6.846950354609929,5.57,24.4
9-NEW098.32,CHLa,0.55,7.452773722627737,6.37,30.9
9-PKC000.00,CHLa,0.98,7.009714285714286,6.015000000000001,20.01
9-PKC004.16,CHLa,1.19,8.660579710144928,6.12,37.77
9-PKC016.91,CHLa,0.77,2.476627906976744,2.15,7.21
9-PKC017.71,CHLa,0.75,2.4793023255813953,2.19,6.51
9-XBL000.20,CHLa,2.24,11.225652173913044,9.01,36.9
1AAUA012.15,NITROGEN_TOTAL,0.22,0.3211111111111111,0.3,0.54
1ALOH007.93,NITROGEN_TOTAL,0.43,0.84953125,0.78,1.43
1APOM013.02,NITROGEN_TOTAL,0.32,0.51125,0.475,0.8
1BCLS003.60,NITROGEN_TOTAL,0.04,0.091,0.1,0.15
1BCNG003.13,NITROGEN_TOTAL,0.42,0.9089814814814815,0.78,1.91
1BCRO009.19,NITROGEN_TOTAL,0.33,0.4771014492753623,0.45,1.09
